Natalie Deas Elsa Duffo : Technologie sans contact / Technologie au temps du Corona Virus,,,,,,,,,,,,,
Nomenclature d'image,Titre ,"Description 
(Max 300 caractères)",Type , Lien vidéo (si nécessaire)  ,Mode de fonctionnement ,Année ,Décénnie ,"Système
 (L'ordinateur, nom de modèle, système d'explotation)",Entreprise / Environement de recherche,Inventeur/Artiste,Type de document ,Source (lien) ,Tags
Reconnaissance,,,,,,,,,,,,,
img1201.jpg,Morphowave,"Le monde des entreprises est un univers affairé et en pleine effervescence dans lequel personne n'a une seconde à perdre. Pour répondre à cet enjeu, IDEMIA a fait appel à son pôle d'innovation pour développer MorphoWave par IDEMIA, une technologie d'empreintes digitales 3D brevetée, capable de capturer les empreintes digitales à la volée et d'identifier une personne d’un simple geste de la main.",Controle d'accès sans contact,https://www.youtube.com/watch?v=q3TaHVvT8Fc,Absolu,2019/2020,10-20,Morphowave,Idemia,/,Photo/Vidéo,https://www.idemia.com/fr/communique-de-presse/morphowave-compact-didemia-repousse-les-limites-de-linnovation-2019-09-09,#digital #reconnaissance #sanscontact #identification #innovation #tracking #morphowave #evolution
img1202.jpg,Reconnaissance faciale,"Un système de reconnaissance faciale est une application logicielle visant à reconnaître une personne grâce à son visage de manière automatique. C'est un domaine de la vision par ordinateur consistant à reconnaître automatiquement une personne à partir d'une image de son visage. Il s'agit d'un sujet particulièrement étudié en vision par ordinateur, avec de très nombreuses publications et brevets, et des conférences spécialisées.",Reconnaissance faciale,https://www.youtube.com/watch?v=189Y7u6moT8,Absolu,1973,70-80,"Système de reconnaissance faciale, application logicielle",/,Takeo Kanade,Photo/Vidéo,https://fr.wikipedia.org/wiki/Système_de_reconnaissance_faciale,#digital #reconnaissance #sanscontact #identification #physique #innovation #tracking #evolution
img1203.jpg,Reconnaissance iris,"La reconnaissance de l'iris pour l'identification d'une personne été proposée à l’origine en 1936 par l’ophtalmologue Frank Burch. Dans les années 1980, l’idée réapparut avec les films sur James Bond, mais cela restait toujours de la science-fiction. En 1987 les ophtalmologues Aran Safir et Léonard Flom ont fait breveter cette idée et en 1989 ils ont demandé à John Daugman (enseignant à l’université de Harvard), d’essayer de créer des algorithmes pour l’identification par l’iris. Ces algorithmes (méthode basée sur les ondes de Gabo), que Daugman a fait brevetés en 1994, sont la base de tous les systèmes d’identification par l’iris. Le Galaxy Note 7, le Galaxy S8 et le Galaxy Note 8 de Samsung sont trois smartphone/phablette équipés d'un système de reconnaissance d'iris. De même Google utilise la technologie de reconnaissance de l'iris pour contrôler l'accès aux centres de données.",Reconnaissance faciale,https://www.youtube.com/watch?v=BcUzfmc0_9A,Absolu,1994,90-00,Système de reconnaissance biométrique,/,Frank Burch,Photo/Vidéo,https://fr.wikipedia.org/wiki/Reconnaissance_de_l%27iris,#digital #reconnaissance #sanscontact #identification #innovation #oeil #evolution #biometrique
img1204.jpg,Appairage bluetooth// TousAntiCovid,"Les chercheurs de l'Institut national de recherche en informatique et en automatique (Inria) ont travaillé au développement d'une application pour smartphone qui permet d'identifier les gens ayant été en contact avec des personnes contaminées par le Covid-19. Cette application n'utilise pas la géolocalisation mais les données Bluetooth.

Toutes les personnes qui ont téléchargé l'application composent une toile d'interconnexions en fonction de leurs déplacements et de leurs interactions. Lorsqu'un nouveau cas de Covid-19 est identifié, il suffit d'en remonter les fils pour savoir qui a pu potentiellement être contaminé. Ces derniers seront alors avertis, pourront être testés, et placés en quarantaine. C'est déjà ce que les équipes médicales réalisent de façon manuelle quand un nouveau cas se présente.",Tracking ,https://www.youtube.com/watch?v=nOiReqyJUR8,Absolu,2020,20,Application,Institut national de recherche en informatique et en automatique (Inria),/,Photo/Vidéo,https://www.lejdd.fr/Societe/stopcovid-comment-fonctionnerait-lapplication-de-tracking-du-gouvernement-3961469,#digital #reconnaissance #sanscontact #identification #tracking #bluetooth #covid #evolution
Near Field communication,,,,,,,,,,,,,
img1205.jpg,Histoire du QR code,"On l’appelle aussi le flashcode. Le QR Code, pour Quick Response Code, fleurit sur les affiches de publicité, comme dans nos magazines et plaquettes commerciales. Mais on l’utilise aussi dans l’industrie, en particulier dans les circuits de gestion logistique. Avant lui, il y avait le fameux code barres, dont le principe a été développé au milieu des années 30.",Divers,,Absolu,2012,10-20,Systeme code matriciel,Entreprise japonaise Denso-Wave,Masahiro Hara,Photo,https://www.usinenouvelle.com/article/le-qr-code-toute-une-histoire-des-origines-a-nos-jours.N176392,#sanscontact #lien #scan #informations #transmission #qrcode #nfc #evolution
img1206.jpg,Near field communication (nfc) paiement sans contact,"Les systèmes de paiement sans contact sont des cartes bancaires, porte-clés, cartes à puce ou d'autres dispositifs (téléphone mobile) qui utilisent les technologies des radio-identification (RFID) et de communication en champ proche (CCP/NFC) afin d'effectuer des transactions. Une puce intégrée et une antenne permettent aux consommateurs d'effectuer un paiement avec leur carte sur un lecteur au point de vente, par simple contact ou simple proximité immédiate, sans introduction de la puce dans un appareil de lecture.",Communcation par champ proche,https://www.youtube.com/watch?v=kQgvOlyDyxQ,Absolu,1990/2000,90-00,Communication en champ proche CCP ou NFC Near Field Communication,,Multiples,Photo/Vidéo,https://fr.wikipedia.org/wiki/Communication_en_champ_proche,#sanscontact #lien #scan #informations #transmission #puce #nfc #evolution
img1207.jpg,Boom du QR code pendant le crise sanitaire de covid-19,"Étant qualifié de ""Mode la plus mémorable et la plus ridicule du début des années 2010, et celle qui restera dans l'histoire du marketing comme un flop spectaculaire"". Les codes QR, autrefois considérés comme une relique du début des années 2010, ont trouvé un nouveau souffle dans la pandémie de coronavirus. Comment sont-ils utilisés pour l'innovation en 2020, et pourraient-ils avoir de meilleures chances de réussir cette fois-ci ?",Divers,,Absolu,2020,10-20,Systeme code matriciel,Entreprise japonaise Denso-Wave,Masahiro Hara,Photo,https://www.rtbf.be/info/medias/detail_le-grand-retour-du-qr-code-en-2020-c-est-quoi-ca-marche-comment-comment-en-generer-quels-sont-les-dangers?id=10587289   https://econsultancy.com/how-qr-codes-are-finally-enabling-innovation-in-2020/,#sanscontact #lien #scan #informations #transmission #puce #covid #qrcode #nfc #evolution
Nouvelle réalité,,,,,,,,,,,,,
img1208.jpg,Boom des visites virtuelles (visite 360°) ,"Frise chronologique interactive, expérience en réalité virtuelle, visite à 360°… Beaucoup d’institutions à travers le monde ont mis en place des dispositifs de visites virtuelles permettant d’explorer leurs collections sans bouger de chez soi. De Figueras à Amsterdam en passant par le Louvre et le Mucem.",Visites virtuelles VR au service de la culture,https://www.youtube.com/watch?v=h9OTCFAmbmA&feature=emb_title,Absolu,2020,10-20,Site internet / vr,Multiples,/,Photo/Vidéo,https://www.beauxarts.com/grand-format/tour-du-monde-virtuel-des-musees-comme-si-vous-y-etiez/,#sanscontact #digital #distance #activite #vr #culture #musee #distanciel #evolution #immersif #simulateur #virtuel
img1209.jpg,Concert virtuel,"Avec le regain d'intensité de l'épidémie de coronavirus, les artistes ne sont pas prêts de donner, à nouveau, de grands concerts devant des foules immenses. Aussi, pour ne pas rompre tout lien avec leur public et continuer de le divertir en cette période pas évidente, les artistes sont de plus en plus nombreux à proposer des concerts virtuels en live stream. ",Concert à distance,https://www.youtube.com/watch?v=u-12a4lPSBI,Absolu,2020,10-20,Site internet / visio,Multiples,/,Photo/Vidéo,https://www.frenchweb.fr/musique-faute-de-concerts-le-livestream-payant-se-democratise/406112,#sanscontact #digital #distance #activite #visio #culture #musique #concert #distanciel #art #evolution #immersif #simulateur #virtuel
img1210.jpg,Google arts & culture ,"Google Arts & Culture est une initiative à but non lucratif. Un travail avec des institutions culturelles et des artistes du monde entier. Le but est de préserver et de mettre en ligne l'art et la culture du monde afin qu'ils soient accessibles à tous, partout. Vivre l'art et la culture de manière nouvelle, découvrir les dernières technologies, visiter les lieux et s'informer sur les événements qui continuent à façonner notre monde. Si vous avez envie de voyager, Google Search est peut-être votre point de départ pour faire des recherches, trouver de l'inspiration et découvrir des sites du monde entier. 
C'est pourquoi, avec Google Arts & Culture, nous lançons une nouvelle fonction de visite virtuelle sur Google Search pour plus de 100 musées et sites culturels du monde entier.
",Culture à distance,https://www.youtube.com/watch?app=desktop&v=fqXy2Q8mRQg,Absolu,2011,10-20,Site internet/Application,Google,/,Photo/Vidéo,https://artsandculture.google.com,#sanscontact #digital #distance #activite #vr #distanciel #art #culture #evolution #immersif #simulateur #virtuel
img1211.jpg,Personal shopper à distance,"Votre Personal Shopper vous contacte en direct du magasin, par mail ou par téléphone c'est vous qui décidez. Il vous accompagnera dans votre choix pour réaliser vos achats à distance. Rive gauche, Le Bon Marché (groupe LVMH) propose un dispositif voisin pour tous les secteurs du magasin, avec un conseiller au téléphone ou par mail et, sur rendez-vous, avec un « personal shopper » en visioconférence.",Personnal shopper à distance,,Absolu,2020,10-20,Visio,Multiples,/,Photo,https://www.leparisien.fr/paris-75/shopping-en-video-dans-les-grands-magasins-parisiens-quels-sont-vos-gouts-14-11-2020-8408335.php / https://www.printempsfrance.com/article/le-shopping-distance,#sanscontact #digital #distance #activite #visio #culture #distanciel #shopper #shopping #virtuel
img1212.jpg,Courses en ligne,"D'après une enquête Nielsen publiée en avril 2020, le secteur des courses en ligne a progressé pour atteindre un niveau inégalé en France. La principale explication est à chercher dans l'épidémie de coronavirus et dans le confinement instauré pour en limiter la propagation. Limités dans leurs déplacements, les Français se sont tournés de préférence vers les circuits courts. Afin d'éviter les contacts avec toute personne extérieure, ils ont aussi opté en masse pour les courses en ligne.",Courses en ligne,https://www.youtube.com/watch?v=-U3UFTO4JRY,Absolu,2000,00-10,Site internet/Application,Multiples,Argos (société britannique),Photo/Vidéo,https://www.latribune.fr/supplement/courses-en-ligne-livraison-et-drive-ce-que-le-covid-19-a-change-860930.html,#sanscontact #digital #distance #quotidien #distanciel #course #enligne #evolution #virtuel